"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 18:56:18 EEST 2022","Tue Jul 26 18:56:29 EEST 2022","10884","","Landing Page/Welcome Games page","","Landing Page/Welcome Games page","#5 User try to click on PLAY CTA of Popular game at Welcome Games page","#5 User try to click on PLAY CTA of Popular game at Welcome Games page",""
"passed","Tue Jul 26 19:08:33 EEST 2022","Tue Jul 26 19:08:44 EEST 2022","10252","","Registration > Step 3","","Registration > Step 3","#18 Country Code is populated by default.","#18 Country Code is populated by default.",""
"skipped","Tue Jul 26 19:01:05 EEST 2022","Tue Jul 26 19:01:05 EEST 2022","0","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#6 Player can select a reason for taking self exclusion the drop down menu.","#6 Player can select a reason for taking self exclusion the drop down menu.",""
"passed","Tue Jul 26 19:05:46 EEST 2022","Tue Jul 26 19:05:52 EEST 2022","6157","","Registration > Step 1","","Registration > Step 1","#07 User can not enter an invaild email address (no @ sign).","#07 User can not enter an invaild email address (no @ sign).",""
"failed","Tue Jul 26 19:13:20 EEST 2022","Tue Jul 26 19:13:25 EEST 2022","5017","","Promotions functionality testing. Bonus details testing.","","Promotions functionality testing. Bonus details testing.","#52 User see related information to bonus after clicking on arrow on the right side of bonus for my bonus activity.","#52 User see related information to bonus after clicking on arrow on the right side of bonus for my bonus activity.",""
"passed","Tue Jul 26 19:04:05 EEST 2022","Tue Jul 26 19:04:27 EEST 2022","21822","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.","#17 Player can press 'BACK' for confirmating modal after chosen for 6 months 'Self Exclusion' and should return to previous step.",""
"passed","Tue Jul 26 19:16:20 EEST 2022","Tue Jul 26 19:16:38 EEST 2022","18109","","My Account -> Deposit","","My Account -> Deposit","#7 Check user is able to deposit with a valid card and is presented with success modal","#7 Check user is able to deposit with a valid card and is presented with success modal",""
"failed","Tue Jul 26 19:14:12 EEST 2022","Tue Jul 26 19:14:34 EEST 2022","22527","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.",""
"passed","Tue Jul 26 19:03:40 EEST 2022","Tue Jul 26 19:03:57 EEST 2022","16854","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#18 User can close 'How loss limits work' modal. ","#18 User can close 'How loss limits work' modal. ",""
"passed","Tue Jul 26 19:11:15 EEST 2022","Tue Jul 26 19:11:19 EEST 2022","3702","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#33 Short description of promotion card is displayed for not login user.","#33 Short description of promotion card is displayed for not login user.",""
"passed","Tue Jul 26 19:17:14 EEST 2022","Tue Jul 26 19:17:27 EEST 2022","13288","","Homepage","","Homepage","#13 Balance details still correctly display balance of £0.00 if user has no cash balance","#13 Balance details still correctly display balance of £0.00 if user has no cash balance",""
"passed","Tue Jul 26 18:58:26 EEST 2022","Tue Jul 26 18:58:40 EEST 2022","13405","","Log In","","Log In","#02 Email Address is a mandatory field.","#02 Email Address is a mandatory field.",""
"passed","Tue Jul 26 19:14:16 EEST 2022","Tue Jul 26 19:14:21 EEST 2022","5468","","Home => Terms & Conditions","","Home => Terms & Conditions","#0 User can come to the terms and conditions page","#0 User can come to the terms and conditions page",""
"passed","Tue Jul 26 19:14:22 EEST 2022","Tue Jul 26 19:14:32 EEST 2022","10273","","Homepage","","Homepage","#2 Authenticated users can preview their balance in the navigation bar","#2 Authenticated users can preview their balance in the navigation bar",""
"passed","Tue Jul 26 19:05:32 EEST 2022","Tue Jul 26 19:05:43 EEST 2022","11153","","Recover Password","","Recover Password","#08 Player can submit an email address which does not exist and still receives a success message on submitting the recover password form.","#08 Player can submit an email address which does not exist and still receives a success message on submitting the recover password form.",""
"passed","Tue Jul 26 19:08:24 EEST 2022","Tue Jul 26 19:08:33 EEST 2022","9453","","Registration > Step 3","","Registration > Step 3","#17 User cannot enter spaces into Phone Number field.","#17 User cannot enter spaces into Phone Number field.",""
"passed","Tue Jul 26 19:00:09 EEST 2022","Tue Jul 26 19:00:21 EEST 2022","12194","","Log In","","Log In","#15 Player can successfully Log In when entering valid details.","#15 Player can successfully Log In when entering valid details.",""
"passed","Tue Jul 26 19:11:50 EEST 2022","Tue Jul 26 19:11:54 EEST 2022","4119","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#42 Login form appears after press CLAIM CTA for CLAIM bonus of unauthenticated user.","#42 Login form appears after press CLAIM CTA for CLAIM bonus of unauthenticated user.",""
"passed","Tue Jul 26 19:17:50 EEST 2022","Tue Jul 26 19:18:05 EEST 2022","14817","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#13 Player can open the Deposit Limits Delete modal on delete icon click and click on edit icon in the input field.","#13 Player can open the Deposit Limits Delete modal on delete icon click and click on edit icon in the input field.",""
"passed","Tue Jul 26 19:06:26 EEST 2022","Tue Jul 26 19:06:45 EEST 2022","18301","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#15 Player should be able to show/hide their inputs into the password fields.","#15 Player should be able to show/hide their inputs into the password fields.",""
"passed","Tue Jul 26 19:17:27 EEST 2022","Tue Jul 26 19:17:37 EEST 2022","10201","","Homepage","","Homepage","#14 Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00","#14 Casino amount does not display when total bonus amount is zero and displays correct total balance of £0.00",""
"passed","Tue Jul 26 18:56:49 EEST 2022","Tue Jul 26 18:56:55 EEST 2022","6049","","Live Casino","","Live Casino","#05 Hero banner static carousel will be displayed.","#05 Hero banner static carousel will be displayed.",""
"passed","Tue Jul 26 18:58:13 EEST 2022","Tue Jul 26 18:58:26 EEST 2022","13514","","Log In","","Log In","#01 Player can open the Log In modal and is displayed with the correct fields.","#01 Player can open the Log In modal and is displayed with the correct fields.",""
"passed","Tue Jul 26 18:57:24 EEST 2022","Tue Jul 26 18:57:33 EEST 2022","9149","","Live Casino","","Live Casino","#12 Card is displayed, user hover a mouse on that card, the primary CTA is PLAY NOW, user clicks/taps on CTA PLAY NOW then the login modal appears.","#12 Card is displayed, user hover a mouse on that card, the primary CTA is PLAY NOW, user clicks/taps on CTA PLAY NOW then the login modal appears.",""
"passed","Tue Jul 26 19:15:40 EEST 2022","Tue Jul 26 19:15:45 EEST 2022","5654","","Home => Terms & Conditions","","Home => Terms & Conditions","#15 User can see the Deposits and Withdrawals section on terms and conditions page","#15 User can see the Deposits and Withdrawals section on terms and conditions page",""
"passed","Tue Jul 26 19:07:32 EEST 2022","Tue Jul 26 19:07:45 EEST 2022","12583","","Registration > Step 4","","Registration > Step 4","#08 User can overwrite Select All option and de-select a preference.","#08 User can overwrite Select All option and de-select a preference.",""
"passed","Tue Jul 26 19:05:17 EEST 2022","Tue Jul 26 19:05:28 EEST 2022","10217","","Registration > Step 1","","Registration > Step 1","#04 User can select the 'Recover' button on the 'Account already exists' drawer and is displayed the Recover Password form.","#04 User can select the 'Recover' button on the 'Account already exists' drawer and is displayed the Recover Password form.",""
"passed","Tue Jul 26 18:55:28 EEST 2022","Tue Jul 26 18:55:43 EEST 2022","14429","","Home page => Privacy Policy page","","Home page => Privacy Policy page","#3 User can come to the Merkur Casino page from Privacy Policy page","#3 User can come to the Merkur Casino page from Privacy Policy page",""
"passed","Tue Jul 26 19:05:39 EEST 2022","Tue Jul 26 19:05:55 EEST 2022","16091","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#12 New password must not contain email address.","#12 New password must not contain email address.",""
"passed","Tue Jul 26 19:18:27 EEST 2022","Tue Jul 26 19:18:43 EEST 2022","15949","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#18 Player can submit a blank value in the Deposit Limits.","#18 Player can submit a blank value in the Deposit Limits.",""
"passed","Tue Jul 26 19:15:50 EEST 2022","Tue Jul 26 19:16:09 EEST 2022","19602","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#6 Player can close the Deposit Limits Edit modal","#6 Player can close the Deposit Limits Edit modal",""
"passed","Tue Jul 26 19:15:30 EEST 2022","Tue Jul 26 19:15:35 EEST 2022","5124","","Home => Terms & Conditions","","Home => Terms & Conditions","#13 User can see the Other Important Terms section on terms and conditions page","#13 User can see the Other Important Terms section on terms and conditions page",""
"passed","Tue Jul 26 19:19:22 EEST 2022","Tue Jul 26 19:19:37 EEST 2022","15022","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#22 Player can close 'How deposit limits work' modal.","#22 Player can close 'How deposit limits work' modal.",""
"passed","Tue Jul 26 19:02:13 EEST 2022","Tue Jul 26 19:02:31 EEST 2022","18102","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#13 User cannot set a Loss Limit lower than the minimum amount. ","#13 User cannot set a Loss Limit lower than the minimum amount. ",""
"failed","Tue Jul 26 19:15:41 EEST 2022","Tue Jul 26 19:15:48 EEST 2022","7098","","Slots page","","Slots page","#5 User can see on hero banner carousel primary button CTA, can click on it and see game info page","#5 User can see on hero banner carousel primary button CTA, can click on it and see game info page",""
"passed","Tue Jul 26 19:14:34 EEST 2022","Tue Jul 26 19:14:41 EEST 2022","7107","","Home => Terms & Conditions","","Home => Terms & Conditions","#3 User can come to the Gambling commission page from terms and conditions page","#3 User can come to the Gambling commission page from terms and conditions page",""
"passed","Tue Jul 26 19:09:44 EEST 2022","Tue Jul 26 19:10:04 EEST 2022","20759","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Particular promotions.","#22 User can enter amount, go to full terms and conditions, click back button, close full terms conditions and return in deposit modal.","#22 User can enter amount, go to full terms and conditions, click back button, close full terms conditions and return in deposit modal.",""
"passed","Tue Jul 26 19:15:02 EEST 2022","Tue Jul 26 19:15:27 EEST 2022","24983","","Homepage","","Homepage","#5 The details balance card is dismissed when the user clicks outside the modal","#5 The details balance card is dismissed when the user clicks outside the modal",""
"passed","Tue Jul 26 19:06:59 EEST 2022","Tue Jul 26 19:07:10 EEST 2022","10654","","Registration > Step 3","","Registration > Step 3","#07 User cannot enter invalid characters into the Address Line 1 field.","#07 User cannot enter invalid characters into the Address Line 1 field.",""
"failed","Tue Jul 26 19:17:01 EEST 2022","Tue Jul 26 19:17:09 EEST 2022","7506","","Venue > Venue land based information","","Venue > Venue land based information","#1 User see venue finder page and see map.","#1 User see venue finder page and see map.",""
"failed","Tue Jul 26 19:13:51 EEST 2022","Tue Jul 26 19:13:56 EEST 2022","5020","","Promotions functionality testing. Bonus details testing.","","Promotions functionality testing. Bonus details testing.","#58 User sees bonuses from this range after select data range on calendar.","#58 User sees bonuses from this range after select data range on calendar.",""
"passed","Tue Jul 26 19:06:32 EEST 2022","Tue Jul 26 19:06:39 EEST 2022","6629","","Registration > Step 2","","Registration > Step 2","#11 User can enter valid details on Step 2 and progress to Step 3 of the registration process.","#11 User can enter valid details on Step 2 and progress to Step 3 of the registration process.",""
"passed","Tue Jul 26 19:11:22 EEST 2022","Tue Jul 26 19:11:26 EEST 2022","3615","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#35 Short terms and conditions of promotion card is displayed for not login user.","#35 Short terms and conditions of promotion card is displayed for not login user.",""
"passed","Tue Jul 26 19:16:45 EEST 2022","Tue Jul 26 19:17:11 EEST 2022","25475","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#9 Player can successfully update a daily deposit limit in the Deposit Limits Delete modal","#9 Player can successfully update a daily deposit limit in the Deposit Limits Delete modal",""
"passed","Tue Jul 26 18:59:26 EEST 2022","Tue Jul 26 18:59:41 EEST 2022","14714","","Deep Link -> Play Reminders","","Deep Link -> Play Reminders","#2 Deep link to play reminders open login when not logged in before play reminders","#2 Deep link to play reminders open login when not logged in before play reminders",""
"passed","Tue Jul 26 19:17:09 EEST 2022","Tue Jul 26 19:17:12 EEST 2022","3652","","Venue > Venue land based information","","Venue > Venue land based information","#3 User see a venue search feature.","#3 User see a venue search feature.",""
"passed","Tue Jul 26 19:03:55 EEST 2022","Tue Jul 26 19:04:09 EEST 2022","13315","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#5 Player cannot submit the Change Password form with blank details.","#5 Player cannot submit the Change Password form with blank details.",""
"passed","Tue Jul 26 19:04:40 EEST 2022","Tue Jul 26 19:04:54 EEST 2022","14113","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#3 Active promotions are displayed in correct order.","#3 Active promotions are displayed in correct order.",""
"passed","Tue Jul 26 19:08:08 EEST 2022","Tue Jul 26 19:08:19 EEST 2022","11034","","UnsubscribePage","","UnsubscribePage","#3 User can click on ‘Unsubscribe’ button and successfully unsubscribe window will be displayed with the correct content","#3 User can click on ‘Unsubscribe’ button and successfully unsubscribe window will be displayed with the correct content",""
"passed","Tue Jul 26 19:08:32 EEST 2022","Tue Jul 26 19:08:45 EEST 2022","12429","","Registration > Step 4","","Registration > Step 4","#13 User doesn`t click on confirm checkbox, tries to click success registration button and error text is shown.","#13 User doesn`t click on confirm checkbox, tries to click success registration button and error text is shown.",""
