"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 02 10:53:44 EET 2022","Wed Feb 02 10:53:55 EET 2022","10614","","404 error page functionality testing.","","404 error page functionality testing.","#7 Player can click ""Deposit"" button and open Deposit window.","#7 Player can click ""Deposit"" button and open Deposit window.",""
"passed","Wed Feb 02 10:54:12 EET 2022","Wed Feb 02 10:54:22 EET 2022","10911","","Log In","","Log In","#01 Player can open the Log In modal and is displayed with the correct fields.","#01 Player can open the Log In modal and is displayed with the correct fields.",""
"passed","Wed Feb 02 10:59:44 EET 2022","Wed Feb 02 10:59:50 EET 2022","6546","","Recover Password","","Recover Password","#03 Player cannot enter an invaild email address.","#03 Player cannot enter an invaild email address.",""
"passed","Wed Feb 02 10:57:50 EET 2022","Wed Feb 02 10:58:09 EET 2022","19651","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#14 Player can successfully set Deposit Limit to the minimum allowed value and will receive a success toast on submitting the new amount.","#14 Player can successfully set Deposit Limit to the minimum allowed value and will receive a success toast on submitting the new amount.",""
"passed","Wed Feb 02 10:56:40 EET 2022","Wed Feb 02 10:56:58 EET 2022","18208","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#7 User can open the Loss Limits Delete modal on edit icon click and click on edit icon in the input field ","#7 User can open the Loss Limits Delete modal on edit icon click and click on edit icon in the input field ",""
"passed","Wed Feb 02 11:03:42 EET 2022","Wed Feb 02 11:03:59 EET 2022","16547","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#1 Player can select the 'Self Exclusion' menu item and is displayed the Self Exclusion modal.","#1 Player can select the 'Self Exclusion' menu item and is displayed the Self Exclusion modal.",""
"passed","Wed Feb 02 10:54:06 EET 2022","Wed Feb 02 10:54:11 EET 2022","4835","","Home => Terms & Conditions","","Home => Terms & Conditions","#1 User can come to the help center from terms and conditions page","#1 User can come to the help center from terms and conditions page",""
"passed","Wed Feb 02 10:53:44 EET 2022","Wed Feb 02 10:53:50 EET 2022","6125","","Expired Link Error","","Expired Link Error","#9 User can click on 'Back to Login' and open Login window and successfully login.","#9 User can click on 'Back to Login' and open Login window and successfully login.",""
"passed","Wed Feb 02 11:00:56 EET 2022","Wed Feb 02 11:01:02 EET 2022","6023","","Registration > Step 3","","Registration > Step 3","#03 Player can select the Manual Input button and is displayed the address inputs.","#03 Player can select the Manual Input button and is displayed the address inputs.",""
"passed","Wed Feb 02 11:07:22 EET 2022","Wed Feb 02 11:07:41 EET 2022","18648","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#19 Player can continue with chosen 6 months option to 'Self Exclusion' and confirming modal should display.","#19 Player can continue with chosen 6 months option to 'Self Exclusion' and confirming modal should display.",""
"skipped","Wed Feb 02 11:04:40 EET 2022","Wed Feb 02 11:04:40 EET 2022","1","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#6 Player can select a reason for taking self exclusion the drop down menu.","#6 Player can select a reason for taking self exclusion the drop down menu.",""
"passed","Wed Feb 02 11:04:24 EET 2022","Wed Feb 02 11:04:35 EET 2022","11132","","My Account -> Deposit","","My Account -> Deposit","#4 Check user is able to select Instant Bank Transfer and is provided with the correct information for this payment method","#4 Check user is able to select Instant Bank Transfer and is provided with the correct information for this payment method",""
"passed","Wed Feb 02 10:53:32 EET 2022","Wed Feb 02 10:53:40 EET 2022","7661","","Homepage","","Homepage","#2 Authenticated users can preview their balance in the navigation bar","#2 Authenticated users can preview their balance in the navigation bar",""
"passed","Wed Feb 02 11:05:58 EET 2022","Wed Feb 02 11:06:09 EET 2022","11355","","My Account > Settings > Change Password","","My Account > Settings > Change Password","#11 New password must not contain email address.","#11 New password must not contain email address.",""
"passed","Wed Feb 02 10:54:21 EET 2022","Wed Feb 02 10:54:25 EET 2022","4324","","Home => Terms & Conditions","","Home => Terms & Conditions","#4 User can come to the Responsible Gambling page from terms and conditions page","#4 User can come to the Responsible Gambling page from terms and conditions page",""
"passed","Wed Feb 02 10:53:33 EET 2022","Wed Feb 02 10:53:35 EET 2022","1794","","Expired Link Error","","Expired Link Error","#5 User can click on Login button and see Login page. ","#5 User can click on Login button and see Login page. ",""
"passed","Wed Feb 02 10:56:22 EET 2022","Wed Feb 02 10:56:39 EET 2022","17334","","My Account > Gambling Controls > Play Reminders","","My Account > Gambling Controls > Play Reminders","#6 Player can successfully set a 'Time Limit'.","#6 Player can successfully set a 'Time Limit'.",""
"passed","Wed Feb 02 11:00:36 EET 2022","Wed Feb 02 11:00:39 EET 2022","3438","","Registration > Step 1","","Registration > Step 1","#29 User can successfully enter email address with uppercase letters.","#29 User can successfully enter email address with uppercase letters.",""
"passed","Wed Feb 02 10:58:02 EET 2022","Wed Feb 02 10:58:14 EET 2022","12240","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#13 Player can continue with chosen 3 weeks option to 'Take A Break' and confirming modal should display.","#13 Player can continue with chosen 3 weeks option to 'Take A Break' and confirming modal should display.",""
"passed","Wed Feb 02 10:58:09 EET 2022","Wed Feb 02 10:58:25 EET 2022","15887","","My Account > Gambling Controls > Deposit Limits","","My Account > Gambling Controls > Deposit Limits","#15 Player can successfully change Deposit Limit with a decimal value and receive a success toast on submitting the new amount.","#15 Player can successfully change Deposit Limit with a decimal value and receive a success toast on submitting the new amount.",""
"passed","Wed Feb 02 10:57:26 EET 2022","Wed Feb 02 10:57:38 EET 2022","12021","","My Profile > Contact Details","","My Profile > Contact Details","#02 Player can select to edit their telephone number and be presented with an edit modal.","#02 Player can select to edit their telephone number and be presented with an edit modal.",""
"passed","Wed Feb 02 10:54:15 EET 2022","Wed Feb 02 10:54:21 EET 2022","5710","","Home => Terms & Conditions","","Home => Terms & Conditions","#3 User can come to the Gambling commission page from terms and conditions page","#3 User can come to the Gambling commission page from terms and conditions page",""
"passed","Wed Feb 02 11:01:09 EET 2022","Wed Feb 02 11:01:13 EET 2022","3487","","Registration > Step 2","","Registration > Step 2","#14 User cannot enter invalid characters into the date of birth field.","#14 User cannot enter invalid characters into the date of birth field.",""
"passed","Wed Feb 02 11:04:52 EET 2022","Wed Feb 02 11:05:03 EET 2022","11450","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#8 Player can choose 12 months option for 'Self Exclusion' and this option should be selected.","#8 Player can choose 12 months option for 'Self Exclusion' and this option should be selected.",""
"passed","Wed Feb 02 11:04:46 EET 2022","Wed Feb 02 11:05:01 EET 2022","14679","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#6 Player can edit their preferences and select just the Text toggle, which upon saving updates the account area accordingly","#6 Player can edit their preferences and select just the Text toggle, which upon saving updates the account area accordingly",""
"passed","Wed Feb 02 10:58:58 EET 2022","Wed Feb 02 10:59:14 EET 2022","15575","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#17 Player can close the take a break modal.","#17 Player can close the take a break modal.",""
"passed","Wed Feb 02 10:54:44 EET 2022","Wed Feb 02 10:54:57 EET 2022","13008","","Inbox functionality testing","","Inbox functionality testing","#7 Player can mark a message as read using the message options, removing the new badge from a message and decreasing the unread message count badge","#7 Player can mark a message as read using the message options, removing the new badge from a message and decreasing the unread message count badge",""
"passed","Wed Feb 02 10:54:00 EET 2022","Wed Feb 02 10:54:06 EET 2022","6811","","Home => Terms & Conditions","","Home => Terms & Conditions","#0 User can come to the terms and conditions page","#0 User can come to the terms and conditions page",""
"passed","Wed Feb 02 11:00:05 EET 2022","Wed Feb 02 11:00:27 EET 2022","22261","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#17 User can open 'How loss limits work' modal. ","#17 User can open 'How loss limits work' modal. ",""
"failed","Wed Feb 02 11:05:38 EET 2022","Wed Feb 02 11:05:59 EET 2022","21092","","My Account > Gambling Controls > Account Closure > Self Exclusion","","My Account > Gambling Controls > Account Closure > Self Exclusion","#12 Player can continue with chosen 6 months option to 'Self Exclusion' and confirming modal should display.","#12 Player can continue with chosen 6 months option to 'Self Exclusion' and confirming modal should display.",""
