"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 14:25:10 EEST 2022","Wed Jun 01 14:25:18 EEST 2022","8221","","Inbox functionality testing","","Inbox functionality testing","#15 Player is presented with an Empty Inbox image if the Inbox is empty (rather than a heading & message list)","#15 Player is presented with an Empty Inbox image if the Inbox is empty (rather than a heading & message list)",""
"passed","Wed Jun 01 14:30:25 EEST 2022","Wed Jun 01 14:30:37 EEST 2022","12893","","Registration > Step 2","","Registration > Step 2","#05 Date of Birth is a mandatory field.","#05 Date of Birth is a mandatory field.",""
"passed","Wed Jun 01 14:25:45 EEST 2022","Wed Jun 01 14:25:57 EEST 2022","12364","","My Account > Gambling Controls > Loss Limits","","My Account > Gambling Controls > Loss Limits","#2 User can open the Loss Limits Edit modal on edit icon click ","#2 User can open the Loss Limits Edit modal on edit icon click ",""
"passed","Wed Jun 01 14:26:57 EEST 2022","Wed Jun 01 14:27:12 EEST 2022","15030","","My Account -> Deposit","","My Account -> Deposit","#7 Check user is able to deposit with a valid card and is presented with success modal","#7 Check user is able to deposit with a valid card and is presented with success modal",""
"passed","Wed Jun 01 14:37:46 EEST 2022","Wed Jun 01 14:37:54 EEST 2022","7255","","Log In","","Log In","#12 Players inputs into the password field should be masked by default.","#12 Players inputs into the password field should be masked by default.",""
"passed","Wed Jun 01 14:29:07 EEST 2022","Wed Jun 01 14:29:13 EEST 2022","5554","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#1 Featured Promotions and Promotions section are displayed.","#1 Featured Promotions and Promotions section are displayed.",""
"passed","Wed Jun 01 14:39:01 EEST 2022","Wed Jun 01 14:39:13 EEST 2022","12725","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#12 Player can continue with chosen 1 week option to 'Take A Break' and confirming modal should display.","#12 Player can continue with chosen 1 week option to 'Take A Break' and confirming modal should display.",""
"failed","Wed Jun 01 14:37:02 EEST 2022","Wed Jun 01 14:37:16 EEST 2022","13497","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.","#1 Player can select take a break menu item from 'Account Closure' and Take A Break contain is displayed.",""
"passed","Wed Jun 01 14:29:19 EEST 2022","Wed Jun 01 14:29:24 EEST 2022","4705","","Registration > Step 1","","Registration > Step 1","#01.1 User can leave the registration process by clicking the Home link and click 'Yes I want to leave'.","#01.1 User can leave the registration process by clicking the Home link and click 'Yes I want to leave'.",""
"passed","Wed Jun 01 14:30:21 EEST 2022","Wed Jun 01 14:30:26 EEST 2022","5500","","Registration > Step 1","","Registration > Step 1","#13 Password is a mandatory field.","#13 Password is a mandatory field.",""
"failed","Wed Jun 01 14:39:43 EEST 2022","Wed Jun 01 14:39:54 EEST 2022","11062","","My Profile > Communications Preferences","","My Profile > Communications Preferences","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly","#9 Player can unselect all preferences using the select all toggle (select all toggle already active), which upon saving updates the account area accordingly",""
"failed","Wed Jun 01 14:37:48 EEST 2022","Wed Jun 01 14:37:53 EEST 2022","4698","","Home => Terms & Conditions","","Home => Terms & Conditions","#19 User can see the Inactive Customer Accounts section on terms and conditions page","#19 User can see the Inactive Customer Accounts section on terms and conditions page",""
"passed","Wed Jun 01 14:22:36 EEST 2022","Wed Jun 01 14:22:39 EEST 2022","3219","","404 error page functionality testing.","","404 error page functionality testing.","#6 Player can click ""Go to lobby"" button and after that it will redirect to Home page.","#6 Player can click ""Go to lobby"" button and after that it will redirect to Home page.",""
"passed","Wed Jun 01 14:31:05 EEST 2022","Wed Jun 01 14:31:14 EEST 2022","8835","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","","Promotions functionality testing. Promotions functionality for authenticated user. Blocks of promotions.","#6 Active promotion is excluded from the featured section.","#6 Active promotion is excluded from the featured section.",""
"passed","Wed Jun 01 14:35:43 EEST 2022","Wed Jun 01 14:35:46 EEST 2022","2727","","Promotions functionality testing. Promotions functionality for unauthenticated user.","","Promotions functionality testing. Promotions functionality for unauthenticated user.","#40 Login form appears after press OPT IN CTA for OPT IN bonus of unauthenticated user.","#40 Login form appears after press OPT IN CTA for OPT IN bonus of unauthenticated user.",""
"passed","Wed Jun 01 14:38:47 EEST 2022","Wed Jun 01 14:39:01 EEST 2022","13297","","My Account > Gambling Controls > Account Closure > Take A Break","","My Account > Gambling Controls > Account Closure > Take A Break","#11 Player can continue with chosen 24 hours option to 'Take A Break' and confirming modal should display.","#11 Player can continue with chosen 24 hours option to 'Take A Break' and confirming modal should display.",""
